YEAR,MO,DY,HR,T2M,QV2M
2023,1,1,0,20.68,13.67
2023,1,1,1,20.33,13.37
2023,1,1,2,19.96,13.18
2023,1,1,3,19.6,12.94
2023,1,1,4,19.53,12.88
2023,1,1,5,19.6,12.88
2023,1,1,6,20.13,13.24
2023,1,1,7,21.65,13.06
2023,1,1,8,23.31,13.18
2023,1,1,9,24.9,13.67
2023,1,1,10,26.3,14.47
2023,1,1,11,27.33,15.08
2023,1,1,12,28.08,15.62
2023,1,1,13,28.47,16.05
2023,1,1,14,28.54,16.3
2023,1,1,15,28.24,16.66
2023,1,1,16,27.59,17.27
2023,1,1,17,25.91,17.82
2023,1,1,18,25.25,17.7
2023,1,1,19,25.07,17.4
2023,1,1,20,24.72,17.21
2023,1,1,21,24.38,16.91
2023,1,1,22,24.17,16.42
2023,1,1,23,23.54,16.3
2023,1,2,0,22.83,16.11
2023,1,2,1,22.25,15.75
2023,1,2,2,21.76,15.26
2023,1,2,3,21.27,14.71
2023,1,2,4,20.87,14.34
2023,1,2,5,20.48,13.98
2023,1,2,6,20.86,14.04
2023,1,2,7,22.55,14.04
2023,1,2,8,24.64,14.65
2023,1,2,9,26.42,15.38
2023,1,2,10,28.01,16.05
2023,1,2,11,29.27,16.6
2023,1,2,12,30.08,16.85
2023,1,2,13,30.4,16.97
2023,1,2,14,30.3,16.97
2023,1,2,15,29.88,17.58
2023,1,2,16,28.67,17.52
2023,1,2,17,26.45,18.19
2023,1,2,18,25.41,17.64
2023,1,2,19,24.94,17.46
2023,1,2,20,24.55,17.27
2023,1,2,21,24.09,17.21
2023,1,2,22,23.67,17.09
2023,1,2,23,23.28,16.85
2023,1,3,0,22.94,16.54
2023,1,3,1,22.61,16.11
2023,1,3,2,22.35,15.38
2023,1,3,3,21.94,14.95
2023,1,3,4,21.55,14.59
2023,1,3,5,21.23,14.34
2023,1,3,6,21.53,14.28
2023,1,3,7,22.97,14.4
2023,1,3,8,24.89,14.83
2023,1,3,9,26.71,15.5
2023,1,3,10,28.09,16.11
2023,1,3,11,28.55,16.42
2023,1,3,12,28.69,16.66
2023,1,3,13,28.84,16.85
2023,1,3,14,28.8,17.09
2023,1,3,15,28.61,17.76
2023,1,3,16,27.82,17.64
2023,1,3,17,26.32,18.37
2023,1,3,18,25.55,17.64
2023,1,3,19,24.9,17.46
2023,1,3,20,24.28,17.09
2023,1,3,21,23.72,16.72
2023,1,3,22,23.14,16.36
2023,1,3,23,22.59,15.93
2023,1,4,0,22.1,15.5
2023,1,4,1,21.66,15.08
2023,1,4,2,21.3,14.77
2023,1,4,3,21.05,14.53
2023,1,4,4,20.83,14.34
2023,1,4,5,20.73,14.28
2023,1,4,6,21.02,14.28
2023,1,4,7,21.77,14.28
2023,1,4,8,22.66,14.65
2023,1,4,9,24.32,15.01
2023,1,4,10,26.54,15.56
2023,1,4,11,28.33,16.11
2023,1,4,12,29.51,16.6
2023,1,4,13,30.07,16.85
2023,1,4,14,30.07,17.03
2023,1,4,15,29.67,17.52
2023,1,4,16,28.48,17.64
2023,1,4,17,26.32,18.31
2023,1,4,18,25.36,17.7
2023,1,4,19,24.78,17.33
2023,1,4,20,24.21,16.91
2023,1,4,21,23.68,16.48
2023,1,4,22,23.09,16.11
2023,1,4,23,22.62,15.81
2023,1,5,0,22.26,15.56
2023,1,5,1,21.95,15.32
2023,1,5,2,21.72,15.26
2023,1,5,3,21.5,15.08
2023,1,5,4,21.25,14.89
2023,1,5,5,21.02,14.77
2023,1,5,6,21.17,14.77
2023,1,5,7,22.14,15.14
2023,1,5,8,23.92,15.81
2023,1,5,9,26.05,16.17
2023,1,5,10,27.28,16.48
2023,1,5,11,27.74,16.78
2023,1,5,12,27.94,16.97
2023,1,5,13,27.82,17.15
2023,1,5,14,27.33,17.4
2023,1,5,15,26.62,17.76
2023,1,5,16,25.8,17.94
2023,1,5,17,24.64,17.52
2023,1,5,18,24.05,16.85
2023,1,5,19,23.62,16.11
2023,1,5,20,23.12,15.5
2023,1,5,21,22.66,15.2
2023,1,5,22,22.25,15.01
2023,1,5,23,21.92,14.89
2023,1,6,0,21.79,14.89
2023,1,6,1,21.73,14.83
2023,1,6,2,21.56,14.77
2023,1,6,3,21.46,14.71
2023,1,6,4,21.43,14.71
2023,1,6,5,21.36,14.65
2023,1,6,6,21.46,14.71
2023,1,6,7,22.5,15.14
2023,1,6,8,23.61,15.26
2023,1,6,9,24.87,15.44
2023,1,6,10,26.03,15.62
2023,1,6,11,26.88,15.93
2023,1,6,12,27.23,16.3
2023,1,6,13,27.19,16.6
2023,1,6,14,27.05,16.85
2023,1,6,15,26.53,17.15
2023,1,6,16,25.54,17.33
2023,1,6,17,24.16,16.97
2023,1,6,18,23.4,16.36
2023,1,6,19,22.93,15.81
2023,1,6,20,22.46,15.26
2023,1,6,21,22.0,14.89
2023,1,6,22,21.59,14.53
2023,1,6,23,21.26,14.22
2023,1,7,0,20.94,13.98
2023,1,7,1,20.67,13.79
2023,1,7,2,20.44,13.55
2023,1,7,3,20.12,13.55
2023,1,7,4,19.98,13.49
2023,1,7,5,20.18,13.61
2023,1,7,6,20.47,13.79
2023,1,7,7,21.05,14.04
2023,1,7,8,21.76,14.53
2023,1,7,9,23.29,14.89
2023,1,7,10,24.88,15.2
2023,1,7,11,26.34,15.69
2023,1,7,12,27.63,16.24
2023,1,7,13,28.59,16.72
2023,1,7,14,28.62,17.03
2023,1,7,15,27.8,17.4
2023,1,7,16,26.32,17.46
2023,1,7,17,24.73,17.03
2023,1,7,18,23.96,16.42
2023,1,7,19,23.46,15.87
2023,1,7,20,22.89,15.44
2023,1,7,21,22.38,15.01
2023,1,7,22,21.87,14.71
2023,1,7,23,21.43,14.47
2023,1,8,0,21.03,14.22
2023,1,8,1,20.63,14.04
2023,1,8,2,20.27,13.79
2023,1,8,3,19.94,13.55
2023,1,8,4,19.67,13.37
2023,1,8,5,19.48,13.31
2023,1,8,6,19.77,13.31
2023,1,8,7,20.86,13.55
2023,1,8,8,22.78,14.1
2023,1,8,9,24.78,14.77
2023,1,8,10,26.44,15.38
2023,1,8,11,27.65,15.93
2023,1,8,12,28.51,16.42
2023,1,8,13,28.92,16.6
2023,1,8,14,28.8,16.6
2023,1,8,15,28.37,16.97
2023,1,8,16,27.75,17.03
2023,1,8,17,26.08,17.4
2023,1,8,18,25.37,16.78
2023,1,8,19,24.9,16.54
2023,1,8,20,24.08,16.6
2023,1,8,21,23.42,16.66
2023,1,8,22,23.04,16.6
2023,1,8,23,22.72,16.54
2023,1,9,0,22.43,16.42
2023,1,9,1,22.27,16.24
2023,1,9,2,22.31,16.17
2023,1,9,3,22.16,16.11
2023,1,9,4,22.0,15.99
2023,1,9,5,21.95,15.87
2023,1,9,6,22.4,16.3
2023,1,9,7,23.58,16.91
2023,1,9,8,25.31,17.46
2023,1,9,9,26.41,17.7
2023,1,9,10,27.24,17.76
2023,1,9,11,27.98,17.76
2023,1,9,12,28.6,17.88
2023,1,9,13,28.83,17.82
2023,1,9,14,28.73,17.82
2023,1,9,15,28.16,18.07
2023,1,9,16,27.24,18.43
2023,1,9,17,25.51,18.49
2023,1,9,18,24.56,18.07
2023,1,9,19,24.15,17.88
2023,1,9,20,23.82,17.76
2023,1,9,21,23.49,17.58
2023,1,9,22,23.21,17.4
2023,1,9,23,22.97,17.15
2023,1,10,0,22.76,16.91
2023,1,10,1,22.52,16.66
2023,1,10,2,22.33,16.42
2023,1,10,3,22.12,16.17
2023,1,10,4,21.89,15.99
2023,1,10,5,21.8,15.93
2023,1,10,6,22.37,16.3
2023,1,10,7,23.72,17.09
2023,1,10,8,25.39,17.76
2023,1,10,9,27.01,18.13
2023,1,10,10,28.11,18.13
2023,1,10,11,28.51,18.01
2023,1,10,12,28.51,17.94
2023,1,10,13,28.35,17.76
2023,1,10,14,27.87,17.46
2023,1,10,15,27.24,17.52
2023,1,10,16,26.35,17.82
2023,1,10,17,24.93,17.76
2023,1,10,18,24.23,17.52
2023,1,10,19,23.96,17.46
2023,1,10,20,23.75,17.4
2023,1,10,21,23.5,17.33
2023,1,10,22,23.18,17.21
2023,1,10,23,22.97,16.97
2023,1,11,0,22.79,16.78
2023,1,11,1,22.6,16.54
2023,1,11,2,22.35,16.24
2023,1,11,3,22.1,15.93
2023,1,11,4,21.89,15.69
2023,1,11,5,21.71,15.5
2023,1,11,6,22.03,15.56
2023,1,11,7,23.23,15.87
2023,1,11,8,25.02,16.3
2023,1,11,9,27.05,16.42
2023,1,11,10,28.46,16.72
2023,1,11,11,29.33,17.15
2023,1,11,12,29.83,17.46
2023,1,11,13,29.9,17.58
2023,1,11,14,29.51,17.58
